incident_id,incident_description,primary_article_ids,acceptable_article_ids,is_answerable,source,forbidden_article_ids
INC0010023,VPN authentication failure after a password reset,KB0001-v2.0,,true,manual,
INC0010047,Printer hardware mechanical squeaking and grinding noise in meeting room 4,,,false,manual,
INC0010064,Account locked after repeated failed sign-ins and MFA reset attempts,KB0005-v4.0,KB0006-v3.0,true,manual,
INC0010052,Order service database connection pool exhausted returning HTTP 500 under load,KB0010-v2.0,,true,manual,KB0010-v1.0
INC0010024,Outlook shows disconnected and no new mail is delivered,KB0002-v3.0,,true,manual,
INC0010025,Mapped shared drive S: is missing from File Explorer after sign-in,KB0003-v2.0,,true,manual,
INC0010026,Print jobs queue indefinitely on follow-me printer but nothing prints,KB0004-v1.0,,true,manual,
INC0010027,User Active Directory account locked out due to invalid cached credentials,KB0005-v4.0,,true,manual,
INC0010028,User lost mobile phone and requires MFA device registration reset,KB0006-v3.0,,true,manual,
INC0010029,Laptop high CPU utilization and thermal throttling following system update,KB0007-v2.0,,true,manual,
INC0010031,SAP GUI connection times out with RFC_ERROR_COMMUNICATION on ECC production,KB0008-v1.0,,true,manual,
INC0010033,Corporate Wi-Fi drops repeatedly and reconnects every five minutes on 5 GHz,KB0009-v2.0,,true,manual,
INC0009884,Order service connection pool exhaustion causing in-flight order loss,KB0010-v2.0,,true,manual,KB0010-v1.0
INC0010091,Domain password change causing simultaneous VPN failure and AD account lockout,KB0001-v2.0;KB0005-v4.0,,true,synthetic,
INC0010092,Remote user reports Outlook disconnected and mapped drive missing simultaneously,KB0002-v3.0;KB0003-v2.0,,true,synthetic,
INC0010093,Facilities HVAC water chiller unit leak in basement equipment room 2B,,,false,synthetic,
INC0010094,Cafeteria point-of-sale card payment terminal displaying hardware tamper detected,,,false,synthetic,
INC0010095,Building east wing biometric turnstile gate motor physically jammed,,,false,synthetic,
INC0010096,User lost mobile phone and cannot complete VPN re-authentication requiring MFA re-enrollment,KB0006-v3.0;KB0001-v2.0,,true,synthetic,
INC0010097,Laptop thermal throttling after system update combined with corporate Wi-Fi drops,KB0007-v2.0;KB0009-v2.0,,true,synthetic,
INC0010098,SAP GUI connection times out for remote user working off the corporate network without VPN,KB0008-v1.0;KB0001-v2.0,,true,synthetic,
INC0010099,Follow-me print queue stalls and mapped drives disappear after network switch replacement,KB0004-v1.0;KB0003-v2.0,,true,synthetic,
INC0010100,Laptop degradation after system update causing SAP GUI timeouts during month-end close,KB0007-v2.0;KB0008-v1.0,,true,synthetic,
INC0010101,Building B passenger elevator stuck between floors with occupants inside,,,false,synthetic,
INC0010102,Payroll system displays incorrect salary amount for employee after compensation review,,,false,synthetic,
